,Activity,Consumption,Group,Indnum,Quality_of_Life_Importance__1_10,Units,electric___off_peak_hours,electric___peak_hours,electric_water_heater___off_peak,electric_water_heater___peak_hou,gas,gas_water_heater,hybrid,jetfuel,natural_gas,solar_powered__water_heater
3066,Use of air conditioner,23.0,1.0,61.0,39.0,hours,,1.0,,1.0,,1.0,,,,
3067,Use of air conditioner,19.0,1.0,62.0,38.0,count,,,1.0,,,,,,,
3068,Use of air conditioner,32.0,1.0,63.0,48.0,hours,,,,,,,,,,
3069,Use of air conditioner,16.0,1.0,64.0,55.0,count,,,,,,,,,,
3070,Use of air conditioner,26.0,1.0,65.0,52.0,hours,,,,,,,,,,
3071,Use of air conditioner,19.0,1.0,66.0,38.0,count,,,,,,,,,,
3072,Use of air conditioner,31.0,1.0,67.0,46.0,hours,,,,,,,,,,
3073,Use of air conditioner,28.0,1.0,68.0,44.0,count,,,,,,,,,,
3074,Use of air conditioner,16.0,1.0,69.0,45.0,hours,,,,,,,,,,
3075,Use of air conditioner,20.0,1.0,70.0,53.0,count,,,,,,,,,,
3076,Use of air conditioner,15.0,1.0,71.0,40.0,hours,,,,1.0,,,,,,
3077,Use of air conditioner,19.0,1.0,72.0,41.0,count,,1.0,1.0,,,,,,,
3078,Use of air conditioner,24.0,1.0,73.0,41.0,hours,,,,,,,,,,
3079,Use of air conditioner,13.0,1.0,74.0,48.0,count,,,,,,,,,,
3080,Use of air conditioner,23.0,1.0,75.0,50.0,hours,,,,,,,,,,
3081,Use of air conditioner,20.0,1.0,76.0,48.0,count,,,,,,,,,,
3082,Use of air conditioner,12.0,1.0,77.0,42.0,hours,,,,1.0,,1.0,,,,
3083,Use of air conditioner,21.0,1.0,78.0,44.0,count,,,,,,,,,,
3084,Use of air conditioner,19.0,1.0,79.0,40.0,hours,,,1.0,,,,,,,
3085,Use of air conditioner,18.0,1.0,80.0,39.0,count,,,,,,,,,,1.0
3086,Use of air conditioner,18.0,1.0,81.0,48.0,hours,,,,,,,,,,
3087,Use of air conditioner,28.0,1.0,82.0,41.0,count,,,1.0,,,,,,,
3088,Use of air conditioner,22.0,1.0,83.0,49.0,hours,,,1.0,,,,,,,
3089,Use of air conditioner,15.0,1.0,84.0,52.0,count,,,,,,,,,,
3090,Use of air conditioner,15.0,1.0,85.0,43.0,hours,,,,,,,,,,
3091,Use of air conditioner,24.0,1.0,86.0,58.0,count,,,,,,,,,,
3092,Use of air conditioner,12.0,1.0,87.0,53.0,hours,,,,,,,,,,
3093,Use of air conditioner,15.0,1.0,88.0,50.0,count,,,,,,,,,,
3094,Use of air conditioner,22.0,1.0,89.0,46.0,hours,,,,,,,,,,
3095,Use of air conditioner,13.0,1.0,90.0,43.0,count,,,,1.0,,,,,,
3096,Use of air conditioner,14.0,1.0,91.0,40.0,hours,,1.0,1.0,,,1.0,,,,
3097,Use of air conditioner,26.0,1.0,92.0,43.0,count,,,,,,,,,,
3098,Use of air conditioner,16.0,1.0,93.0,39.0,hours,,1.0,,,,,,,,
3099,Use of air conditioner,25.0,1.0,94.0,41.0,count,,,,,,,,,,
3100,Use of air conditioner,26.0,1.0,95.0,52.0,hours,,,1.0,,,1.0,,,,
3101,Use of air conditioner,29.0,1.0,96.0,38.0,count,,,,,,,,,,
3102,Use of air conditioner,15.0,1.0,97.0,57.0,hours,,,,,,,,,,
3103,Use of air conditioner,20.0,1.0,98.0,42.0,count,,,1.0,,,,,,,
3104,Use of air conditioner,24.0,1.0,99.0,51.0,hours,,,,,,,,,,
3105,Use of air conditioner,15.0,1.0,100.0,53.0,count,,,,,,,,,,
3106,Use of air conditioner,16.0,1.0,101.0,51.0,hours,,,,,,,,,,
3107,Use of air conditioner,13.0,1.0,102.0,44.0,count,,,,,,,,,,
3108,Use of air conditioner,17.0,1.0,103.0,54.0,hours,,,,,,,,,,1.0
3109,Use of air conditioner,15.0,1.0,104.0,41.0,count,,,,,,,,,,
3110,Use of air conditioner,25.0,1.0,105.0,40.0,hours,,,,,,,,,,
3111,Use of air conditioner,18.0,1.0,106.0,49.0,count,,,,,,,1.0,,,1.0
3112,Use of air conditioner,22.0,1.0,107.0,46.0,hours,,,,,,,,,,
3113,Use of air conditioner,28.0,1.0,108.0,50.0,count,,,1.0,1.0,,,,,,
3114,Use of air conditioner,17.0,1.0,109.0,39.0,hours,,,,,,,,,,
3115,Use of air conditioner,12.0,1.0,110.0,38.0,count,,,,,,,,,,1.0
3116,Use of air conditioner,16.0,1.0,111.0,55.0,hours,,,,,,,,,,1.0
3117,Use of air conditioner,32.0,1.0,112.0,43.0,count,,,,1.0,,,,,,
3118,Use of air conditioner,24.0,1.0,113.0,57.0,hours,,,,,,,,,,
3119,Use of air conditioner,19.0,1.0,114.0,55.0,count,,,,,,,,,,
3120,Use of air conditioner,32.0,1.0,115.0,51.0,hours,,,,,,,,,,1.0
3121,Use of air conditioner,26.0,1.0,116.0,52.0,count,,,1.0,,,,,,,
3122,Use of air conditioner,24.0,1.0,117.0,52.0,hours,,,,,,,,,,
3123,Use of air conditioner,30.0,1.0,118.0,57.0,count,,,,1.0,,,1.0,,,
3124,Use of air conditioner,30.0,1.0,119.0,41.0,hours,,,,,,,,,,
3125,Use of air conditioner,19.0,1.0,120.0,44.0,count,,1.0,,,,,,,,1.0
3126,Use of air conditioner,12.0,1.0,121.0,46.0,hours,,,,1.0,,,,,,
3127,Use of air conditioner,31.0,1.0,122.0,49.0,count,,,,,,1.0,,,,
3128,Use of air conditioner,12.0,1.0,123.0,42.0,hours,,,,1.0,,1.0,,,,
3129,Use of air conditioner,31.0,1.0,124.0,55.0,count,,,1.0,,,1.0,1.0,,,
3130,Use of air conditioner,27.0,1.0,125.0,50.0,hours,,,,,,,,,,
3131,Use of air conditioner,27.0,1.0,126.0,54.0,count,,,,,,,,,,
3132,Use of air conditioner,13.0,1.0,127.0,46.0,hours,,,,,,,,,,
3133,Use of air conditioner,13.0,1.0,128.0,43.0,count,,,,,,,,,,
3134,Use of air conditioner,20.0,1.0,129.0,47.0,hours,,,,,,,,,,
3135,Use of air conditioner,13.0,1.0,130.0,55.0,count,,,,,,,,,,
3136,Use of air conditioner,28.0,1.0,131.0,39.0,hours,,,,,,,,,,
3137,Use of air conditioner,28.0,1.0,132.0,52.0,count,,,,,,,,,,
3138,Use of air conditioner,14.0,1.0,133.0,47.0,hours,,,,,,,,,,
3139,Use of air conditioner,22.0,1.0,134.0,48.0,count,,,,,,,,,,
3140,Use of air conditioner,32.0,1.0,135.0,58.0,hours,,,,,,,,,,
3141,Use of air conditioner,25.0,1.0,136.0,55.0,count,,,,,,,,,,
3142,Use of air conditioner,30.0,1.0,137.0,55.0,hours,,,,,,,,,,
3143,Use of air conditioner,30.0,1.0,138.0,40.0,count,,,,,,,,,,
3144,Use of air conditioner,21.0,1.0,139.0,50.0,hours,,,1.0,,,,,,,
3145,Use of air conditioner,23.0,1.0,140.0,53.0,count,,,1.0,,,,,,,
3146,Use of air conditioner,20.0,1.0,141.0,50.0,hours,,,,1.0,,,,,,
3147,Use of air conditioner,23.0,1.0,142.0,47.0,count,,,1.0,,,,,,,
3148,Use of air conditioner,23.0,1.0,143.0,46.0,hours,,,,,,,,,,
3149,Use of air conditioner,28.0,1.0,144.0,58.0,count,,,,,,,,,,
3150,Use of air conditioner,18.0,1.0,145.0,44.0,hours,,,,,,,,,,1.0
3151,Use of air conditioner,23.0,1.0,146.0,50.0,count,,,,,,,,,,
3152,Use of air conditioner,24.0,1.0,147.0,55.0,hours,,,,,,,,,,
3153,Use of air conditioner,32.0,1.0,148.0,54.0,count,,,,,1.0,,,,,
3154,Use of air conditioner,29.0,1.0,149.0,50.0,hours,,,,1.0,,,,,,
3155,Use of air conditioner,31.0,1.0,150.0,58.0,count,,,,,,,,,,
3156,Use of air conditioner,12.0,1.0,151.0,42.0,hours,,,,,,,,,,
3157,Use of air conditioner,24.0,1.0,152.0,56.0,count,,,1.0,,,,,,,
3158,Use of air conditioner,29.0,1.0,153.0,51.0,hours,,,,,,,,,,
3159,Use of air conditioner,26.0,1.0,154.0,50.0,count,,,1.0,,,,1.0,,,
3160,Use of air conditioner,14.0,1.0,155.0,52.0,hours,,,1.0,,,1.0,,,,
3161,Use of air conditioner,12.0,1.0,156.0,43.0,count,,,1.0,1.0,,,,,,
3162,Use of air conditioner,22.0,1.0,157.0,44.0,hours,,,,,,1.0,,,,
3163,Use of air conditioner,19.0,1.0,158.0,53.0,count,,,,,,1.0,,,,
3164,Use of air conditioner,15.0,1.0,159.0,39.0,hours,,,,,,,,,,
3165,Use of air conditioner,19.0,1.0,160.0,51.0,count,,,,,,,,,,
3166,Use of air conditioner,26.0,1.0,161.0,47.0,hours,,,1.0,1.0,,,,,,
3167,Use of air conditioner,19.0,1.0,162.0,44.0,count,,,,,,,,,,
3168,Use of air conditioner,16.0,1.0,163.0,46.0,hours,,,,1.0,,,,,,1.0
3169,Use of air conditioner,22.0,1.0,164.0,57.0,count,,,,,,,,,,
3170,Use of air conditioner,30.0,1.0,165.0,43.0,hours,,,1.0,,,,,,,
3171,Use of air conditioner,24.0,1.0,166.0,45.0,count,,,,,,,,,,
3172,Use of air conditioner,13.0,1.0,167.0,56.0,hours,,,,,,,,,,
3173,Use of air conditioner,12.0,1.0,168.0,46.0,count,,,,,,1.0,,,,
3174,Use of air conditioner,19.0,1.0,169.0,38.0,hours,,,,1.0,,,,,,
3175,Use of air conditioner,28.0,1.0,170.0,50.0,count,,,,,,,,,,
3176,Use of air conditioner,13.0,1.0,171.0,43.0,hours,,,1.0,,,,,,,
3177,Use of air conditioner,25.0,1.0,172.0,45.0,count,,,,,,,,,,
3178,Use of air conditioner,18.0,1.0,173.0,57.0,hours,,,,,,,,,,
3179,Use of air conditioner,15.0,1.0,174.0,46.0,count,,,,,,,,,,
3180,Use of air conditioner,21.0,1.0,175.0,58.0,hours,,,,1.0,,,,,,
3181,Use of air conditioner,32.0,1.0,176.0,38.0,count,,,,,,,,,,
3182,Use of air conditioner,21.0,1.0,177.0,56.0,hours,,,,,,,,,,
3183,Use of air conditioner,18.0,1.0,178.0,58.0,count,,,,,,,,,,
3184,Use of air conditioner,26.0,1.0,179.0,39.0,hours,,,,,,,,,,
3185,Use of air conditioner,27.0,1.0,180.0,55.0,count,,,,,,,,,,
3186,Use of air conditioner,21.0,1.0,181.0,42.0,hours,,,,,,,,,,
3187,Use of air conditioner,27.0,1.0,182.0,51.0,count,,,,,,,,,,
3188,Use of air conditioner,23.0,1.0,183.0,55.0,hours,,,,1.0,,,,,,
3189,Use of air conditioner,16.0,1.0,184.0,53.0,count,,,,,,,,,,
3190,Use of air conditioner,19.0,1.0,185.0,56.0,hours,,,,,,,,,,
3191,Use of air conditioner,26.0,1.0,186.0,48.0,count,,,,,,,,,,
3192,Use of air conditioner,25.0,1.0,187.0,55.0,hours,,,,,,,,,,
3193,Use of air conditioner,17.0,1.0,188.0,40.0,count,,,,,,,,,,
3194,Use of air conditioner,29.0,1.0,189.0,43.0,hours,,,,,,,,,,
3195,Use of air conditioner,27.0,1.0,190.0,44.0,count,,,,,,,,,,
3196,Use of air conditioner,13.0,1.0,191.0,54.0,hours,,,,,,,,,,
3197,Use of air conditioner,12.0,1.0,192.0,41.0,count,,,,,,,,,,
3198,Use of air conditioner,14.0,1.0,193.0,38.0,hours,,,,1.0,,,,,,
3199,Use of air conditioner,19.0,1.0,194.0,41.0,count,,,,,,,,,,
3200,Use of air conditioner,12.0,1.0,195.0,50.0,hours,,,,,,,,,,
3201,Use of air conditioner,26.0,1.0,196.0,43.0,count,,,,1.0,,,,,,
3202,Use of air conditioner,27.0,1.0,197.0,41.0,hours,,,,,,,,,,
3203,Use of air conditioner,14.0,1.0,198.0,56.0,count,,,,1.0,,,,,,
3204,Use of air conditioner,25.0,1.0,199.0,56.0,hours,,,,1.0,,,,,,
3205,Use of air conditioner,29.0,1.0,200.0,43.0,count,,,,,,,,,,
3206,Use of air conditioner,22.0,1.0,201.0,56.0,hours,,,,,,,,,,
3207,Use of air conditioner,20.0,1.0,202.0,54.0,count,,,,,,,,,,
3208,Use of air conditioner,15.0,1.0,203.0,40.0,hours,,,,,,,,,,
3209,Use of air conditioner,12.0,1.0,204.0,42.0,count,,,,,,,,,,
3210,Use of air conditioner,18.0,1.0,205.0,57.0,hours,,,,,1.0,,,,,
3211,Use of air conditioner,17.0,1.0,206.0,46.0,count,,,,,,,,,,
3212,Use of air conditioner,24.0,1.0,207.0,57.0,hours,,,1.0,,1.0,,,,,
3213,Use of air conditioner,21.0,1.0,208.0,49.0,count,,,,,,,,,,
3214,Use of air conditioner,28.0,1.0,209.0,53.0,hours,,,,,,,1.0,,,
3215,Use of air conditioner,31.0,1.0,210.0,53.0,count,,,,,,,,,,
3216,Use of air conditioner,13.0,1.0,211.0,47.0,hours,,,1.0,,,,,,,
3217,Use of air conditioner,26.0,1.0,212.0,53.0,count,,,,,,,,,,
3218,Use of air conditioner,32.0,1.0,213.0,51.0,hours,,,1.0,,,,,,,
3219,Use of air conditioner,20.0,1.0,214.0,43.0,count,,,,,,,,,,
3220,Use of air conditioner,32.0,1.0,215.0,56.0,hours,,,,,,,,,,
3221,Use of air conditioner,22.0,1.0,216.0,58.0,count,,,,,,,,,,
3222,Use of air conditioner,20.0,1.0,217.0,55.0,hours,,,,,,,,,,
3223,Use of air conditioner,19.0,1.0,218.0,58.0,count,,,,,,,,,,
3224,Use of air conditioner,15.0,1.0,219.0,48.0,hours,,,,,,,,,,
3225,Use of air conditioner,24.0,1.0,220.0,38.0,count,,,,,,,,,,
3226,Use of air conditioner,12.0,1.0,221.0,55.0,hours,,,,,,,,,,
3227,Use of air conditioner,28.0,1.0,222.0,39.0,count,,,,,,,,,,
3228,Use of air conditioner,16.0,1.0,223.0,57.0,hours,,,,,,,,,,
3229,Use of air conditioner,17.0,1.0,224.0,44.0,count,,,,,,,,,,
3230,Use of air conditioner,25.0,1.0,225.0,43.0,hours,,,,,,,,,,
3231,Use of air conditioner,17.0,1.0,226.0,52.0,count,,,1.0,,,,,,,1.0
3232,Use of air conditioner,18.0,1.0,227.0,48.0,hours,,,1.0,,,,,,,
3233,Use of air conditioner,16.0,1.0,228.0,55.0,count,,,,,,,,,,
3234,Use of air conditioner,13.0,1.0,229.0,39.0,hours,,,,,,,,,,
3235,Use of air conditioner,22.0,1.0,230.0,51.0,count,,,,,,,,,,
3236,Use of air conditioner,25.0,1.0,231.0,52.0,hours,,,,,,,,,,
3237,Use of air conditioner,18.0,1.0,232.0,53.0,count,,,,,,,,,,
3238,Use of air conditioner,32.0,1.0,233.0,54.0,hours,,,,1.0,,,,,,1.0
3239,Use of air conditioner,28.0,1.0,234.0,49.0,count,,,,,,,,,,
3240,Use of air conditioner,19.0,1.0,235.0,51.0,hours,,,,,,,,,,
3241,Use of air conditioner,32.0,1.0,236.0,47.0,count,,,1.0,,,,,,,
3242,Use of air conditioner,30.0,1.0,237.0,55.0,hours,,,,,,,,,,
3243,Use of air conditioner,15.0,1.0,238.0,45.0,count,,,1.0,,,,,,,
3244,Use of air conditioner,27.0,1.0,239.0,48.0,hours,,,,,,,,,,
3245,Use of air conditioner,26.0,1.0,240.0,38.0,count,,,,,,,,,,
3246,Use of air conditioner,17.0,1.0,241.0,46.0,hours,,,,,,,,,,
3247,Use of air conditioner,24.0,1.0,242.0,45.0,count,,,,,,,,,,
3248,Use of air conditioner,21.0,1.0,243.0,40.0,hours,,,,,,,,,,
3249,Use of air conditioner,27.0,1.0,244.0,52.0,count,,,,,,1.0,,,,
3250,Use of air conditioner,21.0,1.0,245.0,55.0,hours,,,,,,,,,,
3251,Use of air conditioner,12.0,1.0,246.0,42.0,count,,,,,,,,,,
3252,Use of air conditioner,25.0,1.0,247.0,50.0,hours,,,,,,,,,,
3253,Use of air conditioner,28.0,1.0,248.0,56.0,count,,,,,,,,,,
3254,Use of air conditioner,16.0,1.0,249.0,50.0,hours,,,,,,,,,,
3255,Use of air conditioner,19.0,1.0,250.0,52.0,count,,,1.0,,,,,,,
3256,Use of air conditioner,21.0,1.0,251.0,49.0,hours,,,,,,,,,,
3257,Use of air conditioner,19.0,1.0,252.0,52.0,count,,,,,,,,,,
3258,Use of air conditioner,22.0,1.0,253.0,45.0,hours,,,1.0,,,,,,,1.0
3259,Use of air conditioner,15.0,1.0,254.0,54.0,count,,,,,,,,,,
3260,Use of air conditioner,23.0,1.0,255.0,54.0,hours,,,,,,,,,,
3261,Use of air conditioner,20.0,1.0,256.0,48.0,count,,,1.0,,,,,,,
3262,Use of air conditioner,12.0,1.0,257.0,48.0,hours,,,,1.0,,1.0,,,,
3263,Use of air conditioner,22.0,1.0,258.0,50.0,count,,,,1.0,,,,,,
3264,Use of air conditioner,14.0,1.0,259.0,57.0,hours,,,,,,1.0,,,,
3265,Use of air conditioner,12.0,1.0,260.0,38.0,count,,,,,,,,,,
3266,Use of air conditioner,28.0,1.0,261.0,47.0,hours,,,,,,,,,,
3267,Use of air conditioner,19.0,1.0,262.0,47.0,count,,,,1.0,,,,,,
3268,Use of air conditioner,20.0,1.0,263.0,50.0,hours,,,,,,,,,,
3269,Use of air conditioner,21.0,1.0,264.0,46.0,count,,,,,,,,,,
3270,Use of air conditioner,22.0,1.0,265.0,57.0,hours,,,,,,,,,,
3271,Use of air conditioner,28.0,1.0,266.0,57.0,count,,,,,,,,,,
3272,Use of air conditioner,18.0,1.0,267.0,48.0,hours,,,1.0,,,,,,,
3273,Use of air conditioner,12.0,1.0,268.0,46.0,count,,,,,,,1.0,,,
3274,Use of air conditioner,21.0,1.0,269.0,53.0,hours,,,,,,,,,,
3275,Use of air conditioner,27.0,1.0,270.0,49.0,count,,,,,,,,,,1.0
3276,Use of air conditioner,14.0,1.0,271.0,45.0,hours,,,,,,,,,,1.0
3277,Use of air conditioner,23.0,1.0,272.0,56.0,count,,,,,,,,,,
3278,Use of air conditioner,16.0,1.0,273.0,51.0,hours,,,,,,,,,,
3279,Use of air conditioner,18.0,1.0,274.0,58.0,count,,,,,,,,,,
3280,Use of air conditioner,26.0,1.0,275.0,39.0,hours,,,,,,,,,,1.0
3281,Use of air conditioner,19.0,1.0,276.0,51.0,count,,,,,,,,,,
3282,Use of air conditioner,32.0,1.0,277.0,58.0,hours,,,,,,,,,,
3283,Use of air conditioner,19.0,1.0,278.0,46.0,count,,,,,,,,,,
3284,Use of air conditioner,19.0,1.0,279.0,40.0,hours,,,,,,,,,,
3285,Use of air conditioner,24.0,1.0,280.0,45.0,count,,,,,,,,,,
3286,Use of air conditioner,21.0,1.0,281.0,43.0,hours,,,1.0,,,,,,,1.0
3287,Use of air conditioner,26.0,1.0,282.0,44.0,count,,,1.0,,,,,,,
3288,Use of air conditioner,31.0,1.0,283.0,57.0,hours,,,,,,,,,,
3289,Use of air conditioner,17.0,1.0,284.0,51.0,count,,,,,,,,,,
3290,Use of air conditioner,23.0,1.0,285.0,38.0,hours,,,,,,,,,,
3291,Use of air conditioner,26.0,1.0,286.0,38.0,count,,,,,,,,,,
3292,Use of air conditioner,21.0,1.0,287.0,52.0,hours,,,,,,,,,,
3293,Use of air conditioner,30.0,1.0,288.0,46.0,count,,,,,,,,,,
3294,Use of air conditioner,20.0,1.0,289.0,53.0,hours,,,,,,1.0,,,,
3295,Use of air conditioner,27.0,1.0,290.0,38.0,count,,,,,,,,,,
3296,Use of air conditioner,15.0,1.0,291.0,43.0,hours,,,,,,1.0,,,,
3297,Use of air conditioner,26.0,1.0,292.0,50.0,count,,,,,,,,,,
3298,Use of air conditioner,30.0,1.0,293.0,38.0,hours,,,,,,,,,,
3299,Use of air conditioner,14.0,1.0,294.0,51.0,count,,,,,,,,,,
3300,Use of air conditioner,25.0,1.0,295.0,54.0,hours,,,,,,,,,,
3301,Use of air conditioner,27.0,1.0,296.0,39.0,count,,,1.0,,,,,,,
3302,Use of air conditioner,12.0,1.0,297.0,46.0,hours,,,,,,,,,,
3303,Use of air conditioner,18.0,1.0,298.0,48.0,count,,,,,,,,,,
3304,Use of air conditioner,23.0,1.0,299.0,42.0,hours,,,,,,,,,,
3305,Use of air conditioner,19.0,1.0,300.0,51.0,count,,,,,,,,,,
3306,Use of air conditioner,24.0,1.0,301.0,44.0,hours,,,,,,,,,,
3307,Use of air conditioner,23.0,1.0,302.0,42.0,count,,,,,,,,,,
3308,Use of air conditioner,16.0,1.0,303.0,54.0,hours,,,,1.0,,,,,,
3309,Use of air conditioner,25.0,1.0,304.0,49.0,count,,,,,,,,,,
3310,Use of air conditioner,24.0,1.0,305.0,42.0,hours,,,,,,,,,,
3311,Use of air conditioner,14.0,1.0,306.0,49.0,count,,,,,,,1.0,,,
3312,Use of air conditioner,13.0,1.0,307.0,44.0,hours,,,,,,,,,,
3313,Use of air conditioner,29.0,1.0,308.0,40.0,count,,,,,,,,,,
3314,Use of air conditioner,32.0,1.0,309.0,40.0,hours,,,,,,,,,,
3315,Use of air conditioner,16.0,1.0,310.0,40.0,count,,,,,,,,,,
3316,Use of air conditioner,17.0,1.0,311.0,55.0,hours,,,,,,,,,,
3317,Use of air conditioner,27.0,1.0,312.0,49.0,count,,,,,,,,,,
3318,Use of air conditioner,24.0,1.0,313.0,47.0,hours,,,,,,,,,,
3319,Use of air conditioner,30.0,1.0,314.0,45.0,count,,,,,,1.0,,,,
3320,Use of air conditioner,17.0,1.0,315.0,49.0,hours,,,,,,,,,,
3321,Use of air conditioner,23.0,1.0,316.0,56.0,count,,,,,,,,,,
3322,Use of air conditioner,13.0,1.0,317.0,52.0,hours,,,,,,,,,,
3323,Use of air conditioner,22.0,1.0,318.0,48.0,count,,,,,,,,,,
3324,Use of air conditioner,28.0,1.0,319.0,47.0,hours,,,,,,,,,,
3325,Use of air conditioner,16.0,1.0,320.0,48.0,count,,,,,,,,,,
3326,Use of air conditioner,27.0,1.0,321.0,49.0,hours,,,,,,,,,,
3327,Use of air conditioner,30.0,1.0,322.0,41.0,count,,,,,,,,,,
3328,Use of air conditioner,13.0,1.0,323.0,42.0,hours,,,,,,,,,,
3329,Use of air conditioner,21.0,1.0,324.0,47.0,count,,,,,,,,,,
3330,Use of air conditioner,32.0,1.0,325.0,46.0,hours,,,,,,,,,,
3331,Use of air conditioner,32.0,1.0,326.0,40.0,count,,,,1.0,,,,,,
3332,Use of air conditioner,14.0,1.0,327.0,44.0,hours,,,,,,,,,,
3333,Use of air conditioner,19.0,1.0,328.0,52.0,count,,,,,,,,,,
3334,Use of air conditioner,17.0,1.0,329.0,39.0,hours,,1.0,,,,,,,,
3335,Use of air conditioner,15.0,1.0,330.0,47.0,count,,,,,,,,,,
3336,Use of air conditioner,26.0,1.0,331.0,46.0,hours,,,,,,,1.0,,,1.0
3337,Use of air conditioner,14.0,1.0,332.0,42.0,count,,,,,,,,,,
3338,Use of air conditioner,15.0,1.0,333.0,39.0,hours,,,,,,,1.0,,,
3339,Use of air conditioner,31.0,1.0,334.0,39.0,count,,,1.0,,,,,,,1.0
3340,Use of air conditioner,30.0,1.0,335.0,43.0,hours,,,,,,,,,,
3341,Use of air conditioner,14.0,1.0,336.0,42.0,count,,,,,,1.0,,,,1.0
3342,Use of air conditioner,30.0,1.0,337.0,49.0,hours,,,1.0,,,,,,,
3343,Use of air conditioner,30.0,1.0,338.0,50.0,count,,,,,,,,,,1.0
3344,Use of air conditioner,14.0,1.0,339.0,57.0,hours,,,1.0,,,,,,,
3345,Use of air conditioner,19.0,1.0,340.0,58.0,count,,,,1.0,,,,,,
3346,Use of air conditioner,29.0,1.0,341.0,41.0,hours,,,,,,,,,,
3347,Use of air conditioner,17.0,1.0,342.0,46.0,count,,,,,,,,,,
3348,Use of air conditioner,19.0,1.0,343.0,42.0,hours,,,,1.0,,,,,,
3349,Use of air conditioner,31.0,1.0,344.0,43.0,count,,,,,,,,,,
3350,Use of air conditioner,12.0,1.0,345.0,50.0,hours,,,,,,,,,,
3351,Use of air conditioner,25.0,1.0,346.0,50.0,count,,,,,,,,,,
3352,Use of air conditioner,15.0,1.0,347.0,58.0,hours,,,,,,,,,,
3353,Use of air conditioner,27.0,1.0,348.0,54.0,count,,,,,,,,,,
3354,Use of air conditioner,16.0,1.0,349.0,53.0,hours,,,,,,,,,,
3355,Use of air conditioner,13.0,1.0,350.0,51.0,count,,,1.0,,,,,,,
3356,Use of air conditioner,27.0,1.0,351.0,40.0,hours,,,,1.0,,,,,,
3357,Use of air conditioner,14.0,1.0,352.0,47.0,count,,,,1.0,,,,,,
3358,Use of air conditioner,24.0,1.0,353.0,50.0,hours,,,,,,,,,,
3359,Use of air conditioner,29.0,1.0,354.0,53.0,count,,,,,,,,,,
3360,Use of air conditioner,19.0,1.0,355.0,45.0,hours,,1.0,,,,,,,,
3361,Use of air conditioner,14.0,1.0,356.0,38.0,count,,,,,,,,,,
3362,Use of air conditioner,16.0,1.0,357.0,45.0,hours,,,,,,,,,,
3363,Use of air conditioner,22.0,1.0,358.0,51.0,count,,,1.0,,,,,,,
3364,Use of air conditioner,21.0,1.0,359.0,47.0,hours,,,,,,,,,,
3365,Use of air conditioner,17.0,1.0,360.0,54.0,count,,,,,,,,,,
3366,Use of air conditioner,13.0,1.0,361.0,57.0,hours,,,1.0,1.0,,,,,,
3367,Use of air conditioner,13.0,1.0,362.0,57.0,count,,,1.0,,,,,,,
3368,Use of air conditioner,16.0,1.0,363.0,45.0,hours,,,,,,1.0,,,,
3369,Use of air conditioner,22.0,1.0,364.0,56.0,count,,,1.0,,,,,,,
3370,Use of air conditioner,12.0,1.0,365.0,43.0,hours,,,,,,,,,,
3371,Use of air conditioner,24.0,1.0,366.0,49.0,count,,,,,,,,,,
3372,Use of air conditioner,18.0,1.0,367.0,51.0,hours,,,,1.0,,,,,,
3373,Use of air conditioner,12.0,1.0,368.0,44.0,count,,,,,,1.0,,,,
3374,Use of air conditioner,27.0,1.0,369.0,54.0,hours,,,,1.0,,,,,,
3375,Use of air conditioner,28.0,1.0,370.0,45.0,count,,1.0,,,,,,,,
3376,Use of air conditioner,18.0,1.0,371.0,38.0,hours,,,,,,,,,,
3377,Use of air conditioner,24.0,1.0,372.0,44.0,count,,,,,,,,,,
3378,Use of air conditioner,30.0,1.0,373.0,48.0,hours,,,,,,,,,,
3379,Use of air conditioner,23.0,1.0,374.0,40.0,count,,,,,,,,,,
3380,Use of air conditioner,21.0,1.0,375.0,47.0,hours,,,,,,,,,,
3381,Use of air conditioner,32.0,1.0,376.0,41.0,count,,,,,,,,,,
3382,Use of air conditioner,29.0,1.0,377.0,50.0,hours,,,,,,,,,,
3383,Use of air conditioner,31.0,1.0,378.0,51.0,count,,,,,,,,,,
3384,Use of air conditioner,23.0,1.0,379.0,44.0,hours,,,,,,,,,,
3385,Use of air conditioner,27.0,1.0,380.0,41.0,count,,,,,,,,,,
3386,Use of air conditioner,32.0,1.0,381.0,57.0,hours,,,,,,,,,,
3387,Use of air conditioner,30.0,1.0,382.0,41.0,count,,,,1.0,,,,,,
3388,Use of air conditioner,16.0,1.0,383.0,49.0,hours,,,,,,,,,,
3389,Use of air conditioner,17.0,1.0,384.0,49.0,count,,,1.0,,,,1.0,,,
3390,Use of air conditioner,19.0,1.0,385.0,42.0,hours,,,,,,,,,,
3391,Use of air conditioner,28.0,1.0,386.0,51.0,count,,,,,,,,,,
3392,Use of air conditioner,31.0,1.0,387.0,51.0,hours,,,,,,,,,,
3393,Use of air conditioner,19.0,1.0,388.0,46.0,count,,,,,,,,,,
3394,Use of air conditioner,25.0,1.0,389.0,46.0,hours,,,,,,,,,,
3395,Use of air conditioner,24.0,1.0,390.0,39.0,count,,,,,,1.0,,,,
3396,Use of air conditioner,19.0,1.0,391.0,44.0,hours,,,,,,,,,,
3397,Use of air conditioner,26.0,1.0,392.0,43.0,count,,,,,,,,,,
