Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,Name of Resource Used,Amount of Resource Used per Unit
301,1,Household heating < 70F,hours,7.0,84.0,electric_water_heater___peak_hou,1.0
301,2,wash-up,count,33.0,24.0,electric_water_heater___peak_hou,1.0
301,3,use of clothes washer,count,8.0,39.0,electric_water_heater___peak_hou,1.0
303,1,Use of air conditioner,hours,16.0,54.0,electric_water_heater___peak_hou,1.0
304,2,shower - short,count,2.0,94.0,electric_water_heater___peak_hou,1.0
305,1,Household heating => 70F,hours,8.0,92.0,electric_water_heater___peak_hou,1.0
306,4,TV/computer use,count,62.0,26.0,electric_water_heater___peak_hou,1.0
307,1,Household heating => 70F,hours,2.0,71.0,electric_water_heater___peak_hou,1.0
307,2,shower - long (> 3 min),count,13.0,77.0,electric_water_heater___peak_hou,1.0
311,2,shower - short,count,7.0,96.0,electric_water_heater___peak_hou,1.0
311,2,wash-up,count,52.0,41.0,electric_water_heater___peak_hou,1.0
312,3,use of clothes dryer,count,1.0,14.0,electric_water_heater___peak_hou,1.0
313,3,use of clothes dryer,count,2.0,20.0,electric_water_heater___peak_hou,1.0
316,3,use of  oven,count,11.0,39.0,electric_water_heater___peak_hou,1.0
320,3,use of  oven,count,11.0,33.0,electric_water_heater___peak_hou,1.0
322,3,use of dishwasher,count,13.0,23.0,electric_water_heater___peak_hou,1.0
323,1,Household heating < 70F,hours,5.0,87.0,electric_water_heater___peak_hou,1.0
326,1,Use of air conditioner,count,32.0,40.0,electric_water_heater___peak_hou,1.0
326,3,use of self-clean feature of electric oven,count,2.0,19.0,electric_water_heater___peak_hou,1.0
327,3,use of self-clean feature of electric oven,count,3.0,16.0,electric_water_heater___peak_hou,1.0
329,3,use of self-clean feature of electric oven,count,4.0,11.0,electric_water_heater___peak_hou,1.0
333,1,Household heating => 70F,hours,7.0,85.0,electric_water_heater___peak_hou,1.0
333,1,Household heating < 70F,hours,3.0,75.0,electric_water_heater___peak_hou,1.0
333,2,shower - short,count,2.0,90.0,electric_water_heater___peak_hou,1.0
333,2,wash-up,count,32.0,26.0,electric_water_heater___peak_hou,1.0
338,1,Household heating => 70F,count,6.0,63.0,electric_water_heater___peak_hou,1.0
339,1,Household heating < 70F,hours,5.0,77.0,electric_water_heater___peak_hou,1.0
339,3,use of  oven,count,9.0,41.0,electric_water_heater___peak_hou,1.0
340,1,Household heating < 70F,count,10.0,67.0,electric_water_heater___peak_hou,1.0
340,1,Use of air conditioner,count,19.0,58.0,electric_water_heater___peak_hou,1.0
340,3,use of self-clean feature of electric oven,count,3.0,11.0,electric_water_heater___peak_hou,1.0
343,1,Use of air conditioner,hours,19.0,42.0,electric_water_heater___peak_hou,1.0
345,1,Household heating => 70F,hours,7.0,61.0,electric_water_heater___peak_hou,1.0
346,1,Household heating => 70F,count,8.0,91.0,electric_water_heater___peak_hou,1.0
349,1,Household heating => 70F,hours,1.0,83.0,electric_water_heater___peak_hou,1.0
350,1,Household heating => 70F,count,5.0,81.0,electric_water_heater___peak_hou,1.0
351,1,Use of air conditioner,hours,27.0,40.0,electric_water_heater___peak_hou,1.0
352,1,Use of air conditioner,count,14.0,47.0,electric_water_heater___peak_hou,1.0
352,2,shower - long (> 3 min),count,18.0,76.0,electric_water_heater___peak_hou,1.0
353,3,use of clothes dryer,count,2.0,11.0,electric_water_heater___peak_hou,1.0
355,2,wash-up,count,44.0,24.0,electric_water_heater___peak_hou,1.0
356,2,wash-up,count,38.0,42.0,electric_water_heater___peak_hou,1.0
358,2,shower - short,count,3.0,85.0,electric_water_heater___peak_hou,1.0
359,2,shower - long (> 3 min),count,16.0,73.0,electric_water_heater___peak_hou,1.0
360,2,shower - short,count,7.0,86.0,electric_water_heater___peak_hou,1.0
360,2,shower - long (> 3 min),count,35.0,87.0,electric_water_heater___peak_hou,1.0
361,1,Use of air conditioner,hours,13.0,57.0,electric_water_heater___peak_hou,1.0
367,1,Household heating < 70F,hours,4.0,66.0,electric_water_heater___peak_hou,1.0
367,1,Use of air conditioner,hours,18.0,51.0,electric_water_heater___peak_hou,1.0
368,2,shower - long (> 3 min),count,40.0,89.0,electric_water_heater___peak_hou,1.0
369,1,Use of air conditioner,hours,27.0,54.0,electric_water_heater___peak_hou,1.0
370,2,wash-up,count,38.0,27.0,electric_water_heater___peak_hou,1.0
370,4,TV/computer use,count,64.0,28.0,electric_water_heater___peak_hou,1.0
371,1,Household heating < 70F,hours,10.0,69.0,electric_water_heater___peak_hou,1.0
374,3,use of  oven,count,10.0,32.0,electric_water_heater___peak_hou,1.0
378,2,shower - short,count,3.0,98.0,electric_water_heater___peak_hou,1.0
380,1,Household heating < 70F,count,3.0,88.0,electric_water_heater___peak_hou,1.0
382,1,Use of air conditioner,count,30.0,41.0,electric_water_heater___peak_hou,1.0
382,3,use of clothes washer,count,2.0,37.0,electric_water_heater___peak_hou,1.0
385,1,Household heating => 70F,hours,3.0,61.0,electric_water_heater___peak_hou,1.0
385,2,shower - short,count,8.0,88.0,electric_water_heater___peak_hou,1.0
388,2,shower - short,count,4.0,89.0,electric_water_heater___peak_hou,1.0
389,1,Household heating => 70F,hours,3.0,64.0,electric_water_heater___peak_hou,1.0
390,2,shower - long (> 3 min),count,38.0,83.0,electric_water_heater___peak_hou,1.0
391,2,wash-up,count,47.0,26.0,electric_water_heater___peak_hou,1.0
394,1,Household heating < 70F,count,8.0,70.0,electric_water_heater___peak_hou,1.0
397,3,use of clothes dryer,count,2.0,17.0,electric_water_heater___peak_hou,1.0
398,1,Household heating => 70F,count,2.0,86.0,electric_water_heater___peak_hou,1.0
399,3,use of clothes dryer,count,3.0,12.0,electric_water_heater___peak_hou,1.0
401,1,Household heating => 70F,hours,1.0,92.0,electric_water_heater___peak_hou,1.0
401,2,shower - short,count,4.0,92.0,electric_water_heater___peak_hou,1.0
402,1,Household heating => 70F,count,9.0,65.0,electric_water_heater___peak_hou,1.0
406,1,Household heating < 70F,count,6.0,69.0,electric_water_heater___peak_hou,1.0
406,2,shower - short,count,2.0,95.0,electric_water_heater___peak_hou,1.0
407,1,Household heating => 70F,hours,2.0,88.0,electric_water_heater___peak_hou,1.0
409,3,use of clothes dryer,count,4.0,18.0,electric_water_heater___peak_hou,1.0
411,1,Household heating < 70F,hours,1.0,89.0,electric_water_heater___peak_hou,1.0
412,3,use of clothes washer,count,6.0,30.0,electric_water_heater___peak_hou,1.0
414,1,Use of air conditioner,count,32.0,50.0,electric_water_heater___peak_hou,1.0
414,2,shower - short,count,5.0,94.0,electric_water_heater___peak_hou,1.0
415,1,Household heating => 70F,hours,2.0,78.0,electric_water_heater___peak_hou,1.0
416,1,Household heating => 70F,count,9.0,75.0,electric_water_heater___peak_hou,1.0
417,1,Household heating => 70F,hours,10.0,65.0,electric_water_heater___peak_hou,1.0
417,1,Use of air conditioner,hours,32.0,49.0,electric_water_heater___peak_hou,1.0
417,2,shower - short,count,3.0,98.0,electric_water_heater___peak_hou,1.0
418,3,use of  oven,count,9.0,36.0,electric_water_heater___peak_hou,1.0
420,1,Household heating < 70F,count,1.0,88.0,electric_water_heater___peak_hou,1.0
421,1,Household heating => 70F,hours,7.0,68.0,electric_water_heater___peak_hou,1.0
423,1,Use of air conditioner,hours,30.0,43.0,electric_water_heater___peak_hou,1.0
423,2,shower - long (> 3 min),count,30.0,88.0,electric_water_heater___peak_hou,1.0
425,2,wash-up,count,40.0,35.0,electric_water_heater___peak_hou,1.0
426,1,Household heating => 70F,count,10.0,74.0,electric_water_heater___peak_hou,1.0
427,1,Use of air conditioner,hours,14.0,44.0,electric_water_heater___peak_hou,1.0
429,1,Household heating < 70F,hours,4.0,88.0,electric_water_heater___peak_hou,1.0
431,3,use of clothes washer,count,8.0,27.0,electric_water_heater___peak_hou,1.0
433,2,shower - short,count,5.0,94.0,electric_water_heater___peak_hou,1.0
434,1,Household heating < 70F,count,10.0,61.0,electric_water_heater___peak_hou,1.0
435,1,Household heating < 70F,hours,7.0,62.0,electric_water_heater___peak_hou,1.0
437,1,Household heating < 70F,hours,6.0,92.0,electric_water_heater___peak_hou,1.0
438,3,use of self-clean feature of electric oven,count,3.0,21.0,electric_water_heater___peak_hou,1.0
439,4,TV/computer use,count,64.0,21.0,electric_water_heater___peak_hou,1.0
440,1,Household heating => 70F,count,3.0,75.0,electric_water_heater___peak_hou,1.0
440,1,Household heating < 70F,count,6.0,82.0,electric_water_heater___peak_hou,1.0
441,1,Household heating < 70F,hours,2.0,92.0,electric_water_heater___peak_hou,1.0
443,2,wash-up,count,34.0,43.0,electric_water_heater___peak_hou,1.0
444,1,Household heating => 70F,count,7.0,70.0,electric_water_heater___peak_hou,1.0
447,1,Use of air conditioner,hours,17.0,54.0,electric_water_heater___peak_hou,1.0
449,3,use of self-clean feature of electric oven,count,4.0,12.0,electric_water_heater___peak_hou,1.0
450,1,Use of air conditioner,count,23.0,42.0,electric_water_heater___peak_hou,1.0
450,2,shower - long (> 3 min),count,40.0,86.0,electric_water_heater___peak_hou,1.0
452,1,Household heating => 70F,count,9.0,87.0,electric_water_heater___peak_hou,1.0
453,2,shower - short,count,6.0,89.0,electric_water_heater___peak_hou,1.0
454,2,shower - short,count,8.0,84.0,electric_water_heater___peak_hou,1.0
455,2,shower - short,count,8.0,95.0,electric_water_heater___peak_hou,1.0
458,1,Use of air conditioner,count,22.0,54.0,electric_water_heater___peak_hou,1.0
459,1,Household heating < 70F,hours,6.0,74.0,electric_water_heater___peak_hou,1.0
461,2,wash-up,count,34.0,29.0,electric_water_heater___peak_hou,1.0
463,2,shower - long (> 3 min),count,15.0,83.0,electric_water_heater___peak_hou,1.0
464,1,Household heating => 70F,count,9.0,76.0,electric_water_heater___peak_hou,1.0
464,1,Household heating < 70F,count,2.0,89.0,electric_water_heater___peak_hou,1.0
466,1,Use of air conditioner,count,14.0,39.0,electric_water_heater___peak_hou,1.0
467,2,wash-up,count,46.0,34.0,electric_water_heater___peak_hou,1.0
468,3,use of clothes dryer,count,3.0,14.0,electric_water_heater___peak_hou,1.0
470,1,Household heating => 70F,count,9.0,72.0,electric_water_heater___peak_hou,1.0
470,2,shower - short,count,3.0,88.0,electric_water_heater___peak_hou,1.0
471,1,Use of air conditioner,hours,29.0,51.0,electric_water_heater___peak_hou,1.0
472,1,Use of air conditioner,count,20.0,49.0,electric_water_heater___peak_hou,1.0
475,1,Use of air conditioner,hours,19.0,54.0,electric_water_heater___peak_hou,1.0
476,1,Household heating => 70F,count,2.0,85.0,electric_water_heater___peak_hou,1.0
476,2,wash-up,count,37.0,29.0,electric_water_heater___peak_hou,1.0
477,1,Household heating => 70F,hours,8.0,92.0,electric_water_heater___peak_hou,1.0
478,1,Household heating < 70F,count,9.0,91.0,electric_water_heater___peak_hou,1.0
478,2,wash-up,count,38.0,41.0,electric_water_heater___peak_hou,1.0
479,1,Use of air conditioner,hours,15.0,41.0,electric_water_heater___peak_hou,1.0
479,3,use of clothes dryer,count,4.0,21.0,electric_water_heater___peak_hou,1.0
482,1,Use of air conditioner,count,22.0,46.0,electric_water_heater___peak_hou,1.0
482,2,shower - short,count,7.0,88.0,electric_water_heater___peak_hou,1.0
483,2,shower - short,count,2.0,91.0,electric_water_heater___peak_hou,1.0
484,2,wash-up,count,52.0,40.0,electric_water_heater___peak_hou,1.0
485,4,TV/computer use,count,64.0,21.0,electric_water_heater___peak_hou,1.0
487,1,Household heating => 70F,hours,7.0,63.0,electric_water_heater___peak_hou,1.0
492,1,Household heating < 70F,count,6.0,92.0,electric_water_heater___peak_hou,1.0
493,2,wash-up,count,50.0,33.0,electric_water_heater___peak_hou,1.0
494,2,shower - short,count,7.0,88.0,electric_water_heater___peak_hou,1.0
494,2,wash-up,count,52.0,25.0,electric_water_heater___peak_hou,1.0
496,2,shower - long (> 3 min),count,38.0,72.0,electric_water_heater___peak_hou,1.0
497,2,wash-up,count,53.0,34.0,electric_water_heater___peak_hou,1.0
498,3,use of clothes dryer,count,2.0,19.0,electric_water_heater___peak_hou,1.0
499,1,Household heating => 70F,hours,2.0,78.0,electric_water_heater___peak_hou,1.0
500,1,Use of air conditioner,count,32.0,42.0,electric_water_heater___peak_hou,1.0
501,1,Household heating < 70F,hours,5.0,77.0,electric_water_heater___peak_hou,1.0
504,2,shower - short,count,6.0,87.0,electric_water_heater___peak_hou,1.0
514,1,Household heating => 70F,count,6.0,64.0,electric_water_heater___peak_hou,1.0
515,2,shower - long (> 3 min),count,11.0,84.0,electric_water_heater___peak_hou,1.0
516,1,Household heating < 70F,count,6.0,88.0,electric_water_heater___peak_hou,1.0
516,2,shower - long (> 3 min),count,10.0,73.0,electric_water_heater___peak_hou,1.0
518,4,TV/computer use,count,59.0,30.0,electric_water_heater___peak_hou,1.0
521,3,use of self-clean feature of electric oven,count,4.0,14.0,electric_water_heater___peak_hou,1.0
522,1,Household heating < 70F,count,1.0,92.0,electric_water_heater___peak_hou,1.0
522,1,Use of air conditioner,count,24.0,57.0,electric_water_heater___peak_hou,1.0
523,1,Household heating < 70F,hours,10.0,67.0,electric_water_heater___peak_hou,1.0
526,3,use of clothes washer,count,5.0,33.0,electric_water_heater___peak_hou,1.0
528,2,shower - long (> 3 min),count,10.0,76.0,electric_water_heater___peak_hou,1.0
531,1,Household heating => 70F,hours,1.0,79.0,electric_water_heater___peak_hou,1.0
532,1,Use of air conditioner,count,28.0,56.0,electric_water_heater___peak_hou,1.0
534,1,Use of air conditioner,count,24.0,58.0,electric_water_heater___peak_hou,1.0
536,1,Household heating => 70F,count,9.0,77.0,electric_water_heater___peak_hou,1.0
538,3,use of  oven,count,8.0,31.0,electric_water_heater___peak_hou,1.0
540,1,Household heating => 70F,count,3.0,93.0,electric_water_heater___peak_hou,1.0
542,1,Use of air conditioner,count,29.0,44.0,electric_water_heater___peak_hou,1.0
543,2,shower - short,count,4.0,91.0,electric_water_heater___peak_hou,1.0
543,3,use of clothes washer,count,3.0,32.0,electric_water_heater___peak_hou,1.0
546,1,Household heating < 70F,count,10.0,92.0,electric_water_heater___peak_hou,1.0
550,1,Household heating < 70F,count,4.0,60.0,electric_water_heater___peak_hou,1.0
551,2,wash-up,count,43.0,39.0,electric_water_heater___peak_hou,1.0
552,1,Household heating => 70F,count,5.0,60.0,electric_water_heater___peak_hou,1.0
552,2,shower - short,count,8.0,82.0,electric_water_heater___peak_hou,1.0
555,2,shower - short,count,6.0,93.0,electric_water_heater___peak_hou,1.0
556,2,shower - short,count,4.0,93.0,electric_water_heater___peak_hou,1.0
557,2,shower - short,count,3.0,86.0,electric_water_heater___peak_hou,1.0
559,2,shower - long (> 3 min),count,36.0,83.0,electric_water_heater___peak_hou,1.0
560,1,Household heating => 70F,count,10.0,67.0,electric_water_heater___peak_hou,1.0
561,2,shower - short,count,7.0,96.0,electric_water_heater___peak_hou,1.0
562,1,Household heating < 70F,count,10.0,70.0,electric_water_heater___peak_hou,1.0
563,3,use of clothes washer,count,4.0,42.0,electric_water_heater___peak_hou,1.0
564,1,Household heating => 70F,count,6.0,81.0,electric_water_heater___peak_hou,1.0
564,2,shower - long (> 3 min),count,30.0,92.0,electric_water_heater___peak_hou,1.0
565,2,shower - short,count,5.0,84.0,electric_water_heater___peak_hou,1.0
566,1,Household heating < 70F,count,6.0,71.0,electric_water_heater___peak_hou,1.0
567,2,shower - short,count,6.0,89.0,electric_water_heater___peak_hou,1.0
567,2,shower - long (> 3 min),count,36.0,92.0,electric_water_heater___peak_hou,1.0
568,1,Use of air conditioner,count,25.0,58.0,electric_water_heater___peak_hou,1.0
568,3,use of self-clean feature of electric oven,count,2.0,17.0,electric_water_heater___peak_hou,1.0
569,1,Household heating < 70F,hours,3.0,80.0,electric_water_heater___peak_hou,1.0
570,1,Household heating => 70F,count,2.0,62.0,electric_water_heater___peak_hou,1.0
570,2,shower - short,count,3.0,89.0,electric_water_heater___peak_hou,1.0
571,1,Household heating => 70F,hours,6.0,85.0,electric_water_heater___peak_hou,1.0
575,2,shower - short,count,3.0,92.0,electric_water_heater___peak_hou,1.0
576,2,wash-up,count,53.0,27.0,electric_water_heater___peak_hou,1.0
578,2,shower - short,count,4.0,95.0,electric_water_heater___peak_hou,1.0
578,2,wash-up,count,51.0,42.0,electric_water_heater___peak_hou,1.0
581,1,Household heating => 70F,hours,8.0,82.0,electric_water_heater___peak_hou,1.0
582,2,shower - short,count,8.0,95.0,electric_water_heater___peak_hou,1.0
582,2,wash-up,count,47.0,24.0,electric_water_heater___peak_hou,1.0
584,1,Household heating < 70F,count,6.0,65.0,electric_water_heater___peak_hou,1.0
587,2,shower - short,count,8.0,96.0,electric_water_heater___peak_hou,1.0
588,4,TV/computer use,count,61.0,27.0,electric_water_heater___peak_hou,1.0
589,1,Use of air conditioner,hours,21.0,49.0,electric_water_heater___peak_hou,1.0
590,1,Household heating => 70F,count,7.0,91.0,electric_water_heater___peak_hou,1.0
593,1,Use of air conditioner,hours,13.0,45.0,electric_water_heater___peak_hou,1.0
594,1,Household heating < 70F,count,6.0,91.0,electric_water_heater___peak_hou,1.0
594,2,shower - short,count,7.0,97.0,electric_water_heater___peak_hou,1.0
594,2,shower - long (> 3 min),count,34.0,89.0,electric_water_heater___peak_hou,1.0
596,1,Household heating => 70F,count,7.0,64.0,electric_water_heater___peak_hou,1.0
596,1,Use of air conditioner,count,24.0,48.0,electric_water_heater___peak_hou,1.0
596,2,shower - long (> 3 min),count,23.0,78.0,electric_water_heater___peak_hou,1.0
599,4,TV/computer use,count,59.0,25.0,electric_water_heater___peak_hou,1.0
602,1,Household heating < 70F,count,1.0,79.0,electric_water_heater___peak_hou,1.0
602,3,use of  oven,count,12.0,34.0,electric_water_heater___peak_hou,1.0
606,1,Household heating < 70F,count,4.0,71.0,electric_water_heater___peak_hou,1.0
607,1,Use of air conditioner,hours,24.0,39.0,electric_water_heater___peak_hou,1.0
607,2,shower - short,count,5.0,82.0,electric_water_heater___peak_hou,1.0
608,3,use of  oven,count,9.0,35.0,electric_water_heater___peak_hou,1.0
609,1,Use of air conditioner,hours,21.0,46.0,electric_water_heater___peak_hou,1.0
610,1,Household heating => 70F,count,4.0,87.0,electric_water_heater___peak_hou,1.0
610,1,Household heating < 70F,count,7.0,78.0,electric_water_heater___peak_hou,1.0
613,1,Household heating => 70F,hours,7.0,90.0,electric_water_heater___peak_hou,1.0
613,2,shower - long (> 3 min),count,11.0,83.0,electric_water_heater___peak_hou,1.0
616,3,use of self-clean feature of electric oven,count,2.0,16.0,electric_water_heater___peak_hou,1.0
618,2,shower - short,count,4.0,82.0,electric_water_heater___peak_hou,1.0
618,3,use of self-clean feature of electric oven,count,2.0,13.0,electric_water_heater___peak_hou,1.0
620,3,use of clothes dryer,count,1.0,17.0,electric_water_heater___peak_hou,1.0
621,1,Household heating < 70F,hours,8.0,82.0,electric_water_heater___peak_hou,1.0
621,2,shower - short,count,4.0,86.0,electric_water_heater___peak_hou,1.0
623,1,Household heating => 70F,hours,5.0,63.0,electric_water_heater___peak_hou,1.0
624,1,Use of air conditioner,count,20.0,46.0,electric_water_heater___peak_hou,1.0
631,1,Use of air conditioner,hours,21.0,53.0,electric_water_heater___peak_hou,1.0
631,2,shower - short,count,2.0,90.0,electric_water_heater___peak_hou,1.0
631,3,use of clothes washer,count,5.0,27.0,electric_water_heater___peak_hou,1.0
632,3,use of self-clean feature of electric oven,count,4.0,18.0,electric_water_heater___peak_hou,1.0
632,4,TV/computer use,count,61.0,30.0,electric_water_heater___peak_hou,1.0
634,2,shower - short,count,4.0,93.0,electric_water_heater___peak_hou,1.0
638,1,Household heating => 70F,count,4.0,84.0,electric_water_heater___peak_hou,1.0
638,2,shower - short,count,5.0,97.0,electric_water_heater___peak_hou,1.0
639,2,shower - short,count,4.0,90.0,electric_water_heater___peak_hou,1.0
639,3,use of clothes washer,count,7.0,45.0,electric_water_heater___peak_hou,1.0
642,1,Use of air conditioner,count,16.0,51.0,electric_water_heater___peak_hou,1.0
642,3,use of  oven,count,9.0,32.0,electric_water_heater___peak_hou,1.0
643,1,Household heating => 70F,hours,9.0,70.0,electric_water_heater___peak_hou,1.0
643,2,shower - short,count,6.0,92.0,electric_water_heater___peak_hou,1.0
644,2,shower - short,count,4.0,85.0,electric_water_heater___peak_hou,1.0
645,4,TV/computer use,count,60.0,23.0,electric_water_heater___peak_hou,1.0
647,1,Use of air conditioner,hours,23.0,46.0,electric_water_heater___peak_hou,1.0
648,2,shower - short,count,2.0,85.0,electric_water_heater___peak_hou,1.0
649,2,wash-up,count,48.0,25.0,electric_water_heater___peak_hou,1.0
649,3,use of  oven,count,10.0,41.0,electric_water_heater___peak_hou,1.0
650,1,Household heating < 70F,count,9.0,72.0,electric_water_heater___peak_hou,1.0
651,1,Use of air conditioner,hours,15.0,47.0,electric_water_heater___peak_hou,1.0
651,2,shower - short,count,2.0,93.0,electric_water_heater___peak_hou,1.0
652,1,Household heating < 70F,count,4.0,75.0,electric_water_heater___peak_hou,1.0
654,1,Household heating < 70F,count,6.0,66.0,electric_water_heater___peak_hou,1.0
655,2,shower - short,count,5.0,83.0,electric_water_heater___peak_hou,1.0
657,1,Household heating < 70F,hours,9.0,63.0,electric_water_heater___peak_hou,1.0
660,1,Household heating < 70F,count,6.0,89.0,electric_water_heater___peak_hou,1.0
661,1,Use of air conditioner,hours,24.0,57.0,electric_water_heater___peak_hou,1.0
661,3,use of clothes washer,count,3.0,29.0,electric_water_heater___peak_hou,1.0
662,3,use of  oven,count,9.0,39.0,electric_water_heater___peak_hou,1.0
663,1,Household heating => 70F,hours,8.0,75.0,electric_water_heater___peak_hou,1.0
663,2,shower - long (> 3 min),count,25.0,79.0,electric_water_heater___peak_hou,1.0
663,2,wash-up,count,40.0,40.0,electric_water_heater___peak_hou,1.0
664,2,shower - short,count,6.0,94.0,electric_water_heater___peak_hou,1.0
665,2,shower - short,count,6.0,88.0,electric_water_heater___peak_hou,1.0
666,1,Use of air conditioner,count,23.0,40.0,electric_water_heater___peak_hou,1.0
667,1,Household heating < 70F,hours,10.0,87.0,electric_water_heater___peak_hou,1.0
670,2,wash-up,count,52.0,30.0,electric_water_heater___peak_hou,1.0
671,1,Use of air conditioner,hours,13.0,56.0,electric_water_heater___peak_hou,1.0
674,2,shower - long (> 3 min),count,32.0,88.0,electric_water_heater___peak_hou,1.0
676,1,Household heating => 70F,count,6.0,82.0,electric_water_heater___peak_hou,1.0
679,1,Household heating => 70F,hours,3.0,86.0,electric_water_heater___peak_hou,1.0
679,1,Use of air conditioner,hours,28.0,49.0,electric_water_heater___peak_hou,1.0
680,1,Household heating < 70F,count,10.0,89.0,electric_water_heater___peak_hou,1.0
681,1,Household heating < 70F,hours,6.0,76.0,electric_water_heater___peak_hou,1.0
681,4,TV/computer use,count,58.0,26.0,electric_water_heater___peak_hou,1.0
682,2,shower - short,count,5.0,88.0,electric_water_heater___peak_hou,1.0
683,2,shower - short,count,8.0,98.0,electric_water_heater___peak_hou,1.0
684,2,shower - long (> 3 min),count,37.0,83.0,electric_water_heater___peak_hou,1.0
685,2,wash-up,count,38.0,27.0,electric_water_heater___peak_hou,1.0
687,1,Use of air conditioner,hours,14.0,44.0,electric_water_heater___peak_hou,1.0
688,1,Household heating => 70F,count,6.0,72.0,electric_water_heater___peak_hou,1.0
688,2,shower - long (> 3 min),count,30.0,89.0,electric_water_heater___peak_hou,1.0
688,2,wash-up,count,53.0,26.0,electric_water_heater___peak_hou,1.0
689,2,shower - short,count,7.0,89.0,electric_water_heater___peak_hou,1.0
689,2,shower - long (> 3 min),count,19.0,85.0,electric_water_heater___peak_hou,1.0
691,1,Use of air conditioner,hours,22.0,42.0,electric_water_heater___peak_hou,1.0
691,2,shower - short,count,6.0,94.0,electric_water_heater___peak_hou,1.0
692,2,shower - short,count,3.0,92.0,electric_water_heater___peak_hou,1.0
693,1,Household heating < 70F,hours,3.0,86.0,electric_water_heater___peak_hou,1.0
694,1,Use of air conditioner,count,26.0,51.0,electric_water_heater___peak_hou,1.0
694,2,shower - short,count,2.0,96.0,electric_water_heater___peak_hou,1.0
697,3,use of clothes dryer,count,3.0,16.0,electric_water_heater___peak_hou,1.0
699,2,wash-up,count,41.0,42.0,electric_water_heater___peak_hou,1.0
702,1,Household heating < 70F,count,2.0,80.0,electric_water_heater___peak_hou,1.0
702,3,use of clothes washer,count,5.0,29.0,electric_water_heater___peak_hou,1.0
703,1,Use of air conditioner,hours,29.0,43.0,electric_water_heater___peak_hou,1.0
705,2,shower - short,count,5.0,92.0,electric_water_heater___peak_hou,1.0
705,2,wash-up,count,51.0,44.0,electric_water_heater___peak_hou,1.0
708,1,Household heating < 70F,count,10.0,84.0,electric_water_heater___peak_hou,1.0
709,3,use of  oven,count,12.0,40.0,electric_water_heater___peak_hou,1.0
710,3,use of clothes dryer,count,2.0,21.0,electric_water_heater___peak_hou,1.0
711,1,Use of air conditioner,hours,23.0,38.0,electric_water_heater___peak_hou,1.0
711,2,wash-up,count,39.0,42.0,electric_water_heater___peak_hou,1.0
713,1,Household heating => 70F,hours,8.0,86.0,electric_water_heater___peak_hou,1.0
713,1,Household heating < 70F,hours,3.0,78.0,electric_water_heater___peak_hou,1.0
716,2,shower - short,count,8.0,89.0,electric_water_heater___peak_hou,1.0
717,3,use of  oven,count,8.0,41.0,electric_water_heater___peak_hou,1.0
724,2,bath,count,6.0,22.0,electric_water_heater___peak_hou,1.0
725,1,Household heating => 70F,hours,6.0,78.0,electric_water_heater___peak_hou,1.0
725,1,Household heating < 70F,hours,1.0,92.0,electric_water_heater___peak_hou,1.0
726,1,Household heating => 70F,count,4.0,65.0,electric_water_heater___peak_hou,1.0
726,2,wash-up,count,51.0,33.0,electric_water_heater___peak_hou,1.0
728,2,shower - short,count,8.0,83.0,electric_water_heater___peak_hou,1.0
728,3,use of  oven,count,11.0,37.0,electric_water_heater___peak_hou,1.0
729,3,use of clothes dryer,count,1.0,13.0,electric_water_heater___peak_hou,1.0
731,1,Use of air conditioner,hours,21.0,43.0,electric_water_heater___peak_hou,1.0
731,3,use of clothes dryer,count,4.0,21.0,electric_water_heater___peak_hou,1.0
732,1,Household heating < 70F,count,8.0,64.0,electric_water_heater___peak_hou,1.0
733,1,Use of air conditioner,hours,13.0,52.0,electric_water_heater___peak_hou,1.0
735,1,Household heating < 70F,hours,8.0,66.0,electric_water_heater___peak_hou,1.0
735,2,shower - long (> 3 min),count,33.0,80.0,electric_water_heater___peak_hou,1.0
736,2,shower - short,count,3.0,89.0,electric_water_heater___peak_hou,1.0
738,1,Household heating => 70F,count,3.0,70.0,electric_water_heater___peak_hou,1.0
742,1,Household heating < 70F,count,2.0,62.0,electric_water_heater___peak_hou,1.0
742,2,wash-up,count,38.0,29.0,electric_water_heater___peak_hou,1.0
744,2,shower - long (> 3 min),count,22.0,79.0,electric_water_heater___peak_hou,1.0
745,1,Use of air conditioner,hours,24.0,50.0,electric_water_heater___peak_hou,1.0
745,2,wash-up,count,41.0,34.0,electric_water_heater___peak_hou,1.0
747,1,Household heating => 70F,hours,8.0,76.0,electric_water_heater___peak_hou,1.0
747,1,Household heating < 70F,hours,2.0,61.0,electric_water_heater___peak_hou,1.0
748,2,shower - short,count,3.0,85.0,electric_water_heater___peak_hou,1.0
749,2,shower - long (> 3 min),count,31.0,82.0,electric_water_heater___peak_hou,1.0
751,1,Household heating < 70F,hours,6.0,92.0,electric_water_heater___peak_hou,1.0
751,2,shower - short,count,4.0,82.0,electric_water_heater___peak_hou,1.0
752,1,Household heating => 70F,count,3.0,65.0,electric_water_heater___peak_hou,1.0
754,1,Household heating < 70F,count,1.0,88.0,electric_water_heater___peak_hou,1.0
755,2,shower - long (> 3 min),count,24.0,78.0,electric_water_heater___peak_hou,1.0
756,1,Use of air conditioner,count,32.0,54.0,electric_water_heater___peak_hou,1.0
